"","Besleria solanoides","Columnea ciliata","Columnea kucyniakii","Columnea mastersonii","Columnea medicinalis","Columnea picta","Columnea strigosa","Drymonia brochidodroma","Drymonia collegarum","Drymonia tenuis","Drymonia teuscheri","Gasteranthus lateralis","Gasteranthus quitensis","Glossoloma oblongicalyx","Glossoloma purpureum","Kohleria affinis"
"Adelomyia melanogenys",0.100199852172483,0.0199258874311553,0.0416307927675655,0.0395540155059788,0.242997554848855,0.0390063758598562,0.839499639480908,0.19724994875545,0.0769696924052135,0.346159901492689,1.74107468800499,0.401010395981375,0.0619332194195558,1.13946737173362,0.0208844555715279,0.0468876376321333
"Aglaiocercus coelestis",2.80836581581076,0.764701567045942,1.09113197464573,0.0414081961751168,0.239638532686985,0.42395842740098,0.581645424049905,1.79552318763666,0.996952212190237,0.998384039333893,4.16233073339387,0.715620522817591,0.606724376110477,1.65515569946345,0.399603703000231,3.40752475325862
"Coeligena torquata",0.016127205059651,0.0179553526116311,0.0344096871948889,0.0369552189219534,0.243338111013457,0.0398717156289036,0.0758512370374925,0.205650934014914,0.0834105288449958,0.0426646357959854,0.229163491421167,0.0628505224540756,0.0167594406345328,0.455507200076621,0.0224736536636792,0.452151804229285
"Coeligena wilsoni",0.250456626849661,0.834834458514576,1.08663370846693,0.0361700558521934,0.234937584349726,0.0394142323463534,0.0737380054580905,0.197934100512375,2.26973109071671,0.478020259498266,0.164175344928359,0.111335529667169,0.113805529375398,0.0240690689431212,0.0616619259213477,2.56065558082378
"Haplophaedia lugens",0.012044909949532,0.0183556089969984,0.0441026408369053,0.0393409736106668,0.226603327133283,0.0390451616230994,0.0639268367551171,0.191484222048251,0.08148148295541,0.0875131306114641,0.0549457600059915,0.0557557509352286,0.0172066167175355,0.0247253980598355,0.0245832125781531,0.0500348433760722
"Heliangelus strophianus",0.127863646076468,0.0198187263193923,0.037491074114211,0.0393909513041177,0.251697716595785,0.040474340563151,0.141357532849624,0.209738105969158,0.0755796571391976,0.476547613648387,0.21652724189401,0.0648165812072096,0.0153578643999811,0.213494906045256,0.0190887370616165,0.0943816951753027
"Heliodoxa rubinoides",0.0160498098948628,0.018029409189568,0.0353473378370173,0.042795090013532,0.246196567539875,0.0394432523068487,0.0609239167489062,0.202447371979614,0.162283811455201,0.0349574772778495,0.0579767607587763,0.0641679080411036,0.0149005187014419,0.0218539223645755,0.0210089715376553,0.0923923930449669
"Ocreatus underwoodii",1.83491487817534,0.0213091564390152,0.0761964954539105,0.0416077033943267,0.249613132866137,0.0373344403891377,0.0778671571335283,0.19250827207187,0.0769166751931262,0.134074103766915,0.0521651008861383,0.061892155079735,0.110527584898035,0.024324143695649,0.0196553198573658,0.248849632080392
"Phaethornis striigularis",0.0142555683430106,0.537559150037976,0.0369766841819484,0.474407679867308,0.253812946340448,1.73328343885241,0.0682238738951289,0.190413282819824,0.0960490036888155,0.488983425178046,0.226839406983726,0.0558910151160286,1.28845524120882,0.0245969110823731,2.06914273818263,0.0527449560509199
"Phaethornis syrmatophorus",0.0581824851555944,1.14645737943826,1.83570128698835,0.786338072716839,2.0106352918897,0.85731552298495,3.15284155506803,0.185377262562864,1.86082798664501,0.176848151625343,0.706781915917785,1.95524013556783,0.570051494034372,3.01746989811375,1.42497999519039,0.656409356003417
"Phaethornis yaruqui",0.0154813381776621,0.261224565835506,0.0771336256218449,1.52794295553944,0.238134789468036,0.34665861826825,0.0654588110929349,0.801225896872322,0.0837822664106023,0.089992466635304,0.22475800259868,0.0682237212588117,0.017098475459696,0.0246635216011122,0.739057478831485,0.0421676516005215
"Thalurania fannyi",0.0143338885696737,0.280801855263495,0.0444634727515829,0.0424063209955467,0.278504302779953,0.0383748801152618,0.0792529065704574,0.217051974126505,0.0988232027372,0.0493210829678006,0.0580798050824429,0.0657461642916449,0.0972542004610406,0.0277481303423808,0.0220198791730254,0.0510155130470768
"Urosticte benjamini",0.040744327451915,0.0168525503321216,0.0789598714851638,0.0394097142069471,0.239353333829739,0.0415522527968615,0.0698733719677681,0.211370355825628,0.0859381800534874,0.0445838337912092,0.0635079830436476,0.0606576657565593,0.0472398921482891,0.0222992417638568,0.0190422167500635,0.0436368924937352
