"","date","Month","Year","site","final_plant_name","total_flowers","height","hummingbird","comment","Transect_ID","lon","lat","ele","time","name","sym","type","extensions","link","cmt","desc","waypoint","timestamp","Camera_ID"
"1","43172",NA,NA,"ALASD","Disterigma noyesiae",14,"3","Metallura tyrianthina",NA,"ALASD_NA_378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","43172",NA,NA,"ALASD","Passiflora coactilis",2,"3","Metallura tyrianthina",NA,"ALASD_NA_384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","07/05/2018","May","2018","ALASD","Fuchsia sylvatica",10,"1","Coeligena lutetiae",NA,"ALASD_May_741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"Alaspungo","Elleanthus amethystinoides",30,"7","Heliangelus strophianus","male","Alaspungo_NA_2189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"Alaspungo","Elleanthus amethystinoides",4,"7","Metallura tyrianthina","female","Alaspungo_NA_2191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","15/02/2017","February","2017","Cambugan","Aphelandra acanthus",1,"2","Adelomyia melanogenys",NA,"Cambugan_February_314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","15/02/2017","February","2017","Cambugan","Columnea strigosa",65,"2","Coeligena torquata",NA,"Cambugan_February_367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","16/03/2017","March","2017","LasGralarias","Gasteranthus pansamalanus",NA,NA,"Heliodoxa rubinoides",NA,"LasGralarias_March_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","16/03/2017","March","2017","LasGralarias","Gasteranthus pansamalanus",2,"2","Aglaiocercus coelestis",NA,"LasGralarias_March_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","16/03/2017","March","2017","LasGralarias","Guzmania squarrosa",2,"4","Aglaiocercus coelestis",NA,"LasGralarias_March_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
