"","Besleria solanoides","Columnea ciliata","Columnea kucyniakii","Columnea mastersonii","Columnea medicinalis","Columnea picta","Columnea strigosa","Drymonia collegarum","Drymonia tenuis","Drymonia teuscheri","Gasteranthus lateralis","Gasteranthus pansamalanus","Gasteranthus quitensis","Glossoloma oblongicalyx","Glossoloma purpureum","Kohleria affinis"
"Adelomyia melanogenys",0.056766875886937,0.0180619198287217,0.0380142205841027,0.0378935756015146,0.191594829742192,0.0629076132626581,0.550771697455105,0.0690291784407851,0.408149323510214,0.788294990092607,0.509803375624963,0.30859818258729,0.0478357157208218,0.178235878893517,0.0166193079980864,0.0484092796942791
"Aglaiocercus coelestis",1.51518909986687,0.288843102895798,0.846540415309962,0.038052721958134,0.21151296576556,0.384959516465529,0.228282239981534,0.396630276419956,0.84383180792091,1.78235410148176,0.842081969488705,0.502256024938179,0.462958537363139,1.31461197685549,0.11894132342484,2.01749731787096
"Coeligena torquata",0.00932607834293398,0.0186395877681711,0.0392368499844028,0.0401749053478999,0.21453327201703,0.060563522945118,0.0440375793089063,0.0691424701368639,0.0512661331507975,0.119571841080621,0.166057844974674,0.340380251285875,0.0113412429160587,0.0988178435100297,0.0155321310430374,0.314129165142211
"Coeligena wilsoni",0.137658803492247,0.470448075760672,0.54716797765532,0.0440269308603066,0.196981406969774,0.0676567138290229,0.0442649542769273,1.53774985749924,0.245282003543443,0.0913532751701378,0.329450017130611,0.16287984935107,0.0607465413487207,0.0472008736881048,0.0168196456875435,0.530825314777433
"Haplophaedia lugens",0.00790036681280615,0.0172592443444186,0.040948997824263,0.0405212062132764,0.196844165533016,0.0629905719752569,0.0431802890833423,0.0634855073311053,0.10167163407666,0.028429937358656,0.162293124179698,0.167590299255382,0.0124267811604516,0.04353103603928,0.0161667247560744,0.0525460550749294
"Heliangelus strophianus",0.0168011302135286,0.0184435508598355,0.038916006682843,0.0418590438664946,0.210111895298363,0.0614431925526371,0.0957809463241828,0.0665827607995147,0.554810420430132,0.0882613179792816,0.183611108671187,0.158001845773957,0.0122918820472654,0.228509511215929,0.019321803461833,0.105027790247692
"Heliodoxa rubinoides",0.00791377762619598,0.0179544366351463,0.0382506284723899,0.0412150313979889,0.187401684704505,0.0606636987509876,0.0488181924856916,0.134608481614724,0.0468686535052073,0.0299577842857642,0.168101148426227,0.158968669768611,0.0118071570610473,0.0405054073620226,0.0149402505125534,0.108585455871439
"Ocreatus underwoodii",0.989303484204264,0.0178057817144671,0.0348186095279718,0.0397725488767168,0.195071373186047,0.0631149058851273,0.044817082455843,0.0723726733505623,0.0487692015970334,0.0315891007190952,0.158087904997141,0.157401453637367,0.0849544142136843,0.0468464791389167,0.017444386491013,0.0602933618532448
"Phaethornis striigularis",0.00843702315479981,0.516089408024752,0.035888842897829,0.481650151633517,0.197159855126645,2.13109948935826,0.0454717456727816,0.0651269371674566,0.55321029872513,0.12148922386116,0.161094389395265,0.16502206795785,0.620314333445781,0.053757822974763,1.64229486935376,0.0519700806438253
"Phaethornis syrmatophorus",0.0315764579458934,0.651922854457442,1.66511487448915,0.806109912410168,1.58806977997344,0.318131058277771,1.65433876404271,1.39010758485758,0.202802972160529,0.395223660219525,0.825008575595852,1.4813587518191,0.330507932008187,1.00047343416094,1.13939937727168,0.207349459920061
"Phaethornis yaruqui",0.00931556256884426,0.25532888103827,0.0376619056817317,1.5217819438471,0.211128046827114,0.444003395966644,0.0464198724072307,0.0668016875807922,0.104674836414169,0.120546126643604,0.168526018281903,0.164559653732659,0.0123575900316514,0.0433869951702397,0.588430494154731,0.0504808111739103
"Thalurania fannyi",0.00747331620055739,0.0375960230900277,0.0379229817637117,0.038587049063569,0.213278923299852,0.0575879186334147,0.0451779178944561,0.071154919659222,0.0496556657898989,0.0307173955584075,0.178571866889086,0.177896523489285,0.0625542737093094,0.0446177567297618,0.0168264987736691,0.0514384016460409
"Urosticte benjamini",0.0244590618884446,0.0176107170416395,0.0405068102488307,0.039858995889377,0.204978492048066,0.0698188877096106,0.045072241332222,0.0711037234828498,0.0458627667013748,0.031184635824144,0.179764426962528,0.157594014346198,0.0364289704275315,0.0445920984003978,0.016015672682485,0.0506314355328702
