"","Plant","Flowers","Date","lon","lat","ele","Month","Year","julian"
"1","Glossoloma oblongicalyx",4,2015-10-19,-78.590933,0.130838,2270,"October","2015",292
"2","Gasteranthus quitensis",2,2016-10-17,-78.5977,0.12007,1940,"October","2016",291
"3","Kohleria affinis",1,2016-12-13,-78.595343,0.126746,2110,"December","2016",348
"4","Columnea ciliata",3,2014-02-27,-78.599339,0.116682,1960,"February","2014",58
"5","Columnea medicinalis",1,2014-04-23,-78.593723,0.1287,2130,"April","2014",113
"6","Drymonia teuscheri",3,2016-07-28,-78.592449,0.129393,2200,"July","2016",210
"7","Glossoloma oblongicalyx",1,2016-07-28,-78.592449,0.129393,2200,"July","2016",210
"8","Columnea kucyniakii",4,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"9","Columnea kucyniakii",4,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"10","Columnea kucyniakii",8,2015-01-13,-78.598576,0.117763,1940,"January","2015",13
"11","Gasteranthus quitensis",6,2015-10-20,-78.593305,0.115384,1740,"October","2015",293
"12","Besleria solanoides",60,2016-10-17,-78.597679,0.120519,1940,"October","2016",291
"13","Besleria solanoides",90,2014-11-05,-78.596503,0.116153,1850,"November","2014",309
"14","Besleria solanoides",2,2014-12-03,-78.595325,0.114718,1780,"December","2014",337
"15","Columnea medicinalis",1,2015-07-29,-78.599425,0.11661,1950,"July","2015",210
"16","Gasteranthus lateralis",2,2016-10-18,-78.593157,0.129148,2160,"October","2016",292
"17","Besleria solanoides",12,2014-12-03,-78.59747,0.121278,1980,"December","2014",337
"18","Glossoloma oblongicalyx",1,2016-05-10,-78.591766,0.12981,2230,"May","2016",131
"19","Columnea strigosa",1,2014-07-23,-78.583973,0.128314,2400,"July","2014",204
"20","Columnea strigosa",3,2014-07-23,-78.583973,0.128314,2400,"July","2014",204
"21","Besleria solanoides",32,2016-09-05,-78.593417,0.129016,2140,"September","2016",249
"22","Gasteranthus quitensis",4,2016-10-17,-78.597771,0.119956,1940,"October","2016",291
"23","Besleria solanoides",120,2014-11-05,-78.596216,0.115235,1820,"November","2014",309
"24","Besleria solanoides",180,2014-11-05,-78.596216,0.115235,1820,"November","2014",309
"25","Columnea ciliata",1,2015-03-07,-78.634733,0.116247,1390,"March","2015",66
"26","Columnea mastersonii",3,2014-06-07,-78.635258,0.117132,1370,"June","2014",158
"27","Columnea ciliata",2,2015-01-18,-78.595315,0.126799,2120,"January","2015",18
"28","Besleria solanoides",280,2015-10-20,-78.597111,0.116426,1860,"October","2015",293
"29","Gasteranthus quitensis",15,2015-10-20,-78.597111,0.116426,1860,"October","2015",293
"30","Besleria solanoides",15,2016-10-18,-78.593121,0.129135,2160,"October","2016",292
"31","Besleria solanoides",4,2014-12-03,-78.597405,0.121371,1980,"December","2014",337
"32","Besleria solanoides",45,2014-12-03,-78.597405,0.121371,1980,"December","2014",337
"33","Besleria solanoides",16,2014-12-03,-78.597405,0.121371,1980,"December","2014",337
"34","Columnea picta",1,2014-03-08,-78.634749,0.116225,1370,"March","2014",67
"35","Besleria solanoides",8,2015-03-11,-78.597056,0.116363,1860,"March","2015",70
"36","Glossoloma oblongicalyx",1,2015-07-30,-78.58275,0.128481,2420,"July","2015",211
"37","Glossoloma oblongicalyx",1,2015-07-30,-78.58275,0.128481,2420,"July","2015",211
"38","Besleria solanoides",63,2016-09-05,-78.593386,0.129045,2140,"September","2016",249
"39","Columnea medicinalis",1,2015-01-18,-78.595308,0.126814,2120,"January","2015",18
"40","Besleria solanoides",25,2015-10-20,-78.597071,0.116185,1860,"October","2015",293
"41","Gasteranthus lateralis",3,2016-10-18,-78.593093,0.129155,2160,"October","2016",292
"42","Besleria solanoides",9,2014-12-03,-78.597241,0.121545,1980,"December","2014",337
"43","Besleria solanoides",4,2014-12-03,-78.597241,0.121545,1980,"December","2014",337
"44","Besleria solanoides",44,2014-12-03,-78.597241,0.121545,1980,"December","2014",337
"45","Gasteranthus quitensis",3,2016-12-14,-78.595598,0.114975,1800,"December","2016",349
"46","Glossoloma purpureum",1,2014-03-08,-78.634264,0.115723,1370,"March","2014",67
"47","Besleria solanoides",1,2014-06-18,-78.593794,0.114609,1750,"June","2014",169
"48","Besleria solanoides",120,2016-09-05,-78.593354,0.129057,2140,"September","2016",249
"49","Besleria solanoides",70,2016-09-05,-78.593354,0.129057,2140,"September","2016",249
"50","Drymonia teuscheri",2,2014-01-07,-78.591735,0.129762,2210,"January","2014",7
"51","Gasteranthus quitensis",15,2015-10-20,-78.597119,0.116277,1860,"October","2015",293
"52","Besleria solanoides",25,2016-10-18,-78.593046,0.129147,2160,"October","2016",292
"53","Gasteranthus lateralis",4,2016-10-18,-78.593046,0.129147,2160,"October","2016",292
"54","Glossoloma purpureum",2,2014-03-08,-78.634127,0.115616,1370,"March","2014",67
"55","Gasteranthus lateralis",1,2014-01-07,-78.591649,0.129841,2220,"January","2014",7
"56","Gasteranthus lateralis",4,2016-10-18,-78.593037,0.129163,2160,"October","2016",292
"57","Besleria solanoides",25,2016-10-18,-78.593037,0.129163,2160,"October","2016",292
"58","Besleria solanoides",2,2014-12-03,-78.597216,0.121446,1990,"December","2014",337
"59","Besleria solanoides",8,2014-12-03,-78.597216,0.121446,1990,"December","2014",337
"60","Kohleria affinis",3,2014-06-18,-78.594361,0.114725,1750,"June","2014",169
"61","Glossoloma oblongicalyx",1,2015-07-30,-78.58243,0.12838,2440,"July","2015",211
"62","Glossoloma purpureum",1,2014-09-27,-78.629641,0.10586,1650,"September","2014",270
"63","Besleria solanoides",96,2016-09-05,-78.593279,0.129056,2150,"September","2016",249
"64","Gasteranthus lateralis",1,2016-09-05,-78.593279,0.129056,2150,"September","2016",249
"65","Glossoloma oblongicalyx",3,2016-09-05,-78.593279,0.129056,2150,"September","2016",249
"66","Columnea ciliata",2,2015-01-18,-78.595181,0.126907,2120,"January","2015",18
"67","Columnea medicinalis",2,2015-10-20,-78.599414,0.116618,1950,"October","2015",293
"68","Besleria solanoides",8,2015-10-20,-78.599414,0.116618,1950,"October","2015",293
"69","Besleria solanoides",5,2016-10-18,-78.592969,0.129306,2160,"October","2016",292
"70","Glossoloma oblongicalyx",1,2016-10-18,-78.592969,0.129306,2160,"October","2016",292
"71","Glossoloma oblongicalyx",1,2014-11-06,-78.58623,0.130077,2320,"November","2014",310
"72","Gasteranthus quitensis",2,2016-12-14,-78.595677,0.115157,1810,"December","2016",349
"73","Gasteranthus quitensis",1,2016-12-14,-78.595677,0.115157,1810,"December","2016",349
"74","Columnea ciliata",2,2015-03-11,-78.599305,0.116644,1960,"March","2015",70
"75","Columnea strigosa",1,2014-07-23,-78.582796,0.128472,2430,"July","2014",204
"76","Glossoloma oblongicalyx",1,2014-07-23,-78.582796,0.128472,2430,"July","2014",204
"77","Besleria solanoides",48,2016-09-05,-78.593261,0.129058,2150,"September","2016",249
"78","Besleria solanoides",16,2015-10-20,-78.599301,0.116673,1950,"October","2015",293
"79","Drymonia teuscheri",8,2016-10-18,-78.593017,0.129321,2170,"October","2016",292
"80","Glossoloma oblongicalyx",1,2014-11-06,-78.586175,0.130041,2320,"November","2014",310
"81","Glossoloma oblongicalyx",2,2016-05-10,-78.591452,0.130201,2250,"May","2016",131
"82","Glossoloma oblongicalyx",2,2014-07-23,-78.582772,0.128472,2430,"July","2014",204
"83","Columnea medicinalis",3,2015-01-18,-78.595026,0.127033,2120,"January","2015",18
"84","Besleria solanoides",24,2016-10-18,-78.592965,0.129226,2170,"October","2016",292
"85","Columnea ciliata",2,2015-03-11,-78.599244,0.116737,1960,"March","2015",70
"86","Columnea medicinalis",2,2016-05-10,-78.591395,0.130111,2250,"May","2016",131
"87","Glossoloma oblongicalyx",1,2015-07-30,-78.582154,0.128468,2440,"July","2015",211
"88","Besleria solanoides",75,2015-10-20,-78.599119,0.116812,1950,"October","2015",293
"89","Besleria solanoides",9,2016-10-18,-78.592899,0.129184,2170,"October","2016",292
"90","Besleria solanoides",42,2016-10-18,-78.592899,0.129184,2170,"October","2016",292
"91","Gasteranthus quitensis",8,2016-12-14,-78.595774,0.115268,1810,"December","2016",349
"92","Columnea ciliata",1,2015-03-11,-78.599197,0.11677,1960,"March","2015",70
"93","Glossoloma oblongicalyx",1,2016-05-10,-78.591327,0.130116,2260,"May","2016",131
"94","Glossoloma oblongicalyx",1,2015-07-30,-78.581944,0.128552,2450,"July","2015",211
"95","Glossoloma oblongicalyx",4,2016-09-05,-78.59313,0.129081,2160,"September","2016",249
"96","Besleria solanoides",4,2016-09-05,-78.59313,0.129081,2160,"September","2016",249
"97","Columnea medicinalis",1,2014-01-07,-78.591241,0.130109,2250,"January","2014",7
"98","Besleria solanoides",35,2015-10-20,-78.599082,0.11682,1950,"October","2015",293
"99","Besleria solanoides",105,2016-10-18,-78.592843,0.12917,2180,"October","2016",292
"100","Glossoloma oblongicalyx",1,2014-11-06,-78.586019,0.129942,2330,"November","2014",310
"101","Gasteranthus quitensis",2,2016-12-14,-78.595826,0.115291,1810,"December","2016",349
"102","Columnea medicinalis",1,2016-05-10,-78.591206,0.13007,2260,"May","2016",131
"103","Besleria solanoides",125,2015-06-23,-78.597603,0.120812,1960,"June","2015",174
"104","Besleria solanoides",30,2015-06-23,-78.597603,0.120812,1960,"June","2015",174
"105","Gasteranthus quitensis",4,2016-07-29,-78.597679,0.120176,1960,"July","2016",211
"106","Drymonia teuscheri",2,2016-09-05,-78.5931,0.129096,2160,"September","2016",249
"107","Gasteranthus lateralis",1,2016-09-05,-78.5931,0.129096,2160,"September","2016",249
"108","Columnea medicinalis",9,2015-01-13,-78.598563,0.117763,1940,"January","2015",13
"109","Gasteranthus quitensis",8,2015-10-20,-78.593229,0.115373,1740,"October","2015",293
"110","Besleria solanoides",40,2015-10-20,-78.593229,0.115373,1740,"October","2015",293
"111","Besleria solanoides",110,2016-10-17,-78.597666,0.120586,1940,"October","2016",291
"112","Besleria solanoides",75,2016-10-17,-78.597666,0.120586,1940,"October","2016",291
"113","Besleria solanoides",36,2014-12-03,-78.595405,0.1148,1780,"December","2014",337
"114","Columnea ciliata",1,2014-02-27,-78.598662,0.117646,1950,"February","2014",58
"115","Columnea picta",1,2014-09-24,-78.594044,0.114751,1750,"September","2014",267
"116","Besleria solanoides",20,2015-10-20,-78.59903,0.116841,1950,"October","2015",293
"117","Besleria solanoides",25,2015-10-20,-78.59903,0.116841,1950,"October","2015",293
"118","Drymonia teuscheri",6,2016-10-18,-78.592732,0.129133,2180,"October","2016",292
"119","Gasteranthus quitensis",4,2016-12-14,-78.59586,0.115176,1820,"December","2016",349
"120","Besleria solanoides",50,2015-06-23,-78.59746,0.120962,1960,"June","2015",174
"121","Drymonia collegarum",4,2015-06-23,-78.59746,0.120962,1960,"June","2015",174
"122","Besleria solanoides",60,2015-06-23,-78.59746,0.120962,1960,"June","2015",174
"123","Drymonia teuscheri",2,2014-07-23,-78.582591,0.128416,2440,"July","2014",204
"124","Gasteranthus quitensis",1,2016-07-29,-78.597645,0.120196,1960,"July","2016",211
"125","Glossoloma oblongicalyx",1,2016-09-05,-78.593111,0.129148,2160,"September","2016",249
"126","Columnea medicinalis",1,2015-01-18,-78.594705,0.127275,2120,"January","2015",18
"127","Drymonia teuscheri",4,2016-10-18,-78.592716,0.129166,2180,"October","2016",292
"128","Gasteranthus quitensis",2,2016-12-14,-78.595909,0.115243,1820,"December","2016",349
"129","Kohleria affinis",6,2015-03-11,-78.598975,0.116905,1960,"March","2015",70
"130","Besleria solanoides",16,2015-06-23,-78.597527,0.121032,1960,"June","2015",174
"131","Besleria solanoides",35,2015-06-23,-78.597527,0.121032,1960,"June","2015",174
"132","Gasteranthus quitensis",1,2016-07-29,-78.597652,0.120218,1960,"July","2016",211
"133","Glossoloma oblongicalyx",1,2016-09-05,-78.593113,0.12913,2160,"September","2016",249
"134","Besleria solanoides",12,2016-09-05,-78.593113,0.12913,2160,"September","2016",249
"135","Columnea ciliata",1,2015-01-18,-78.594614,0.127436,2130,"January","2015",18
"136","Columnea ciliata",1,2015-01-18,-78.594614,0.127436,2130,"January","2015",18
"137","Glossoloma oblongicalyx",1,2016-10-18,-78.592685,0.129211,2180,"October","2016",292
"138","Gasteranthus quitensis",2,2016-12-14,-78.595963,0.115132,1820,"December","2016",349
"139","Columnea ciliata",2,2014-03-08,-78.633149,0.114664,1370,"March","2014",67
"140","Gasteranthus quitensis",3,2016-07-29,-78.597668,0.120233,1960,"July","2016",211
"141","Gasteranthus lateralis",1,2016-09-05,-78.593094,0.129115,2160,"September","2016",249
"142","Besleria solanoides",30,2016-09-05,-78.593094,0.129115,2160,"September","2016",249
"143","Besleria solanoides",24,2016-09-05,-78.593094,0.129115,2160,"September","2016",249
"144","Besleria solanoides",20,2014-12-03,-78.596744,0.122364,1990,"December","2014",337
"145","Kohleria affinis",1,2015-03-11,-78.598916,0.117025,1960,"March","2015",70
"146","Drymonia teuscheri",2,2014-06-18,-78.59494,0.115218,1750,"June","2014",169
"147","Glossoloma oblongicalyx",1,2014-07-23,-78.582025,0.128532,2440,"July","2014",204
"148","Glossoloma oblongicalyx",1,2015-07-30,-78.581483,0.128689,2470,"July","2015",211
"149","Glossoloma oblongicalyx",1,2015-07-30,-78.581483,0.128689,2470,"July","2015",211
"150","Gasteranthus quitensis",2,2016-07-29,-78.597662,0.120242,1960,"July","2016",211
"151","Besleria solanoides",9,2016-09-05,-78.593031,0.129193,2170,"September","2016",249
"152","Drymonia teuscheri",1,2016-09-05,-78.593031,0.129193,2170,"September","2016",249
"153","Besleria solanoides",6,2016-09-05,-78.593031,0.129193,2170,"September","2016",249
"154","Gasteranthus lateralis",1,2014-01-07,-78.590706,0.131074,2270,"January","2014",7
"155","Besleria solanoides",50,2015-10-20,-78.598883,0.117137,1950,"October","2015",293
"156","Besleria solanoides",35,2016-10-18,-78.592599,0.129241,2190,"October","2016",292
"157","Besleria solanoides",24,2016-10-18,-78.592599,0.129241,2190,"October","2016",292
"158","Drymonia teuscheri",2,2016-10-18,-78.592599,0.129241,2190,"October","2016",292
"159","Besleria solanoides",21,2014-12-03,-78.596709,0.122447,1990,"December","2014",337
"160","Gasteranthus quitensis",4,2014-03-08,-78.632333,0.113658,1380,"March","2014",67
"161","Gasteranthus quitensis",6,2016-07-29,-78.597685,0.120299,1960,"July","2016",211
"162","Besleria solanoides",18,2015-10-20,-78.598841,0.117251,1950,"October","2015",293
"163","Besleria solanoides",24,2014-12-03,-78.596701,0.122501,1990,"December","2014",337
"164","Gasteranthus quitensis",3,2014-03-08,-78.632342,0.113545,1380,"March","2014",67
"165","Columnea picta",1,2014-04-27,-78.632663,0.114173,1380,"April","2014",117
"166","Gasteranthus quitensis",2,2016-07-29,-78.597659,0.120369,1960,"July","2016",211
"167","Columnea picta",1,2016-07-29,-78.597659,0.120369,1960,"July","2016",211
"168","Columnea mastersonii",1,2014-09-27,-78.629305,0.104424,1670,"September","2014",270
"169","Glossoloma oblongicalyx",4,2016-09-05,-78.592962,0.129326,2170,"September","2016",249
"170","Besleria solanoides",18,2015-10-20,-78.598844,0.117263,1940,"October","2015",293
"171","Besleria solanoides",8,2014-12-03,-78.596698,0.12254,1990,"December","2014",337
"172","Gasteranthus quitensis",1,2014-03-08,-78.632341,0.11351,1370,"March","2014",67
"173","Besleria solanoides",10,2015-06-23,-78.59732,0.121382,1970,"June","2015",174
"174","Besleria solanoides",40,2016-09-05,-78.592945,0.129227,2170,"September","2016",249
"175","Besleria solanoides",42,2016-09-05,-78.592945,0.129227,2170,"September","2016",249
"176","Gasteranthus quitensis",3,2014-01-08,-78.593362,0.115449,1750,"January","2014",8
"177","Drymonia teuscheri",3,2015-10-20,-78.598796,0.117283,1940,"October","2015",293
"178","Glossoloma oblongicalyx",3,2016-10-18,-78.592148,0.129519,2200,"October","2016",292
"179","Gasteranthus quitensis",7,2016-12-14,-78.596233,0.115658,1840,"December","2016",349
"180","Columnea mastersonii",2,2014-09-27,-78.629063,0.104248,1690,"September","2014",270
"181","Besleria solanoides",16,2016-09-05,-78.592922,0.129173,2170,"September","2016",249
"182","Besleria solanoides",35,2016-09-05,-78.592922,0.129173,2170,"September","2016",249
"183","Columnea medicinalis",3,2014-12-03,-78.59664,0.12273,2000,"December","2014",337
"184","Columnea picta",1,2014-04-27,-78.632414,0.113314,1390,"April","2014",117
"185","Glossoloma oblongicalyx",2,2016-05-10,-78.590791,0.130867,2260,"May","2016",131
"186","Kohleria affinis",2,2015-06-23,-78.597272,0.121408,1980,"June","2015",174
"187","Glossoloma oblongicalyx",1,2014-07-23,-78.581682,0.128778,2460,"July","2014",204
"188","Besleria solanoides",120,2016-09-05,-78.592857,0.129149,2170,"September","2016",249
"189","Gasteranthus quitensis",1,2014-01-08,-78.593453,0.115379,1750,"January","2014",8
"190","Besleria solanoides",1,2015-01-18,-78.594,0.128148,2120,"January","2015",18
"191","Columnea medicinalis",6,2015-01-18,-78.594,0.128148,2120,"January","2015",18
"192","Gasteranthus lateralis",1,2016-10-18,-78.592008,0.129615,2210,"October","2016",292
"193","Besleria solanoides",9,2014-12-03,-78.596534,0.122701,2000,"December","2014",337
"194","Gasteranthus quitensis",2,2014-03-08,-78.628922,0.107864,1540,"March","2014",67
"195","Columnea picta",1,2014-04-27,-78.632001,0.112754,1390,"April","2014",117
"196","Columnea medicinalis",2,2015-06-23,-78.597183,0.121457,1980,"June","2015",174
"197","Glossoloma oblongicalyx",1,2014-07-23,-78.581614,0.128746,2460,"July","2014",204
"198","Besleria solanoides",12,2016-07-29,-78.597593,0.120955,1970,"July","2016",211
"199","Besleria solanoides",16,2016-07-29,-78.597593,0.120955,1970,"July","2016",211
"200","Columnea mastersonii",1,2014-09-27,-78.629067,0.104098,1690,"September","2014",270
"201","Columnea mastersonii",1,2015-09-12,-78.635039,0.118794,1370,"September","2015",255
"202","Glossoloma oblongicalyx",1,2016-09-05,-78.592762,0.129134,2170,"September","2016",249
"203","Columnea kucyniakii",3,2015-01-13,-78.598556,0.117772,1940,"January","2015",13
"204","Gasteranthus quitensis",2,2015-10-20,-78.59319,0.115556,1720,"October","2015",293
"205","Besleria solanoides",16,2015-10-20,-78.59319,0.115556,1720,"October","2015",293
"206","Besleria solanoides",16,2016-10-17,-78.597658,0.12063,1940,"October","2016",291
"207","Columnea mastersonii",2,2016-06-11,-78.628764,0.107562,1560,"June","2016",163
"208","Drymonia teuscheri",4,2016-07-28,-78.591561,0.130234,2240,"July","2016",210
"209","Gasteranthus quitensis",2,2014-01-08,-78.593636,0.115543,1750,"January","2014",8
"210","Glossoloma oblongicalyx",1,2015-01-18,-78.593788,0.128464,2130,"January","2015",18
"211","Besleria solanoides",12,2014-12-03,-78.596382,0.122715,2000,"December","2014",337
"212","Columnea kucyniakii",3,2014-03-08,-78.628946,0.107758,1540,"March","2014",67
"213","Columnea kucyniakii",2,2015-03-11,-78.598415,0.117855,1940,"March","2015",70
"214","Columnea mastersonii",3,2014-04-27,-78.629032,0.107797,1560,"April","2014",117
"215","Glossoloma oblongicalyx",1,2014-07-23,-78.581491,0.128719,2460,"July","2014",204
"216","Besleria solanoides",24,2016-07-29,-78.597571,0.121016,1980,"July","2016",211
"217","Columnea mastersonii",1,2014-09-27,-78.629062,0.104031,1690,"September","2014",270
"218","Gasteranthus quitensis",2,2014-01-08,-78.593349,0.115688,1720,"January","2014",8
"219","Gasteranthus lateralis",1,2016-10-18,-78.591877,0.129738,2220,"October","2016",292
"220","Columnea medicinalis",1,2014-12-03,-78.596399,0.122708,2010,"December","2014",337
"221","Besleria solanoides",8,2014-12-03,-78.596399,0.122708,2010,"December","2014",337
"222","Columnea kucyniakii",3,2014-03-08,-78.628904,0.107726,1540,"March","2014",67
"223","Columnea kucyniakii",1,2015-03-11,-78.598387,0.117978,1940,"March","2015",70
"224","Columnea mastersonii",2,2014-04-27,-78.62871,0.107698,1570,"April","2014",117
"225","Drymonia teuscheri",2,2016-09-05,-78.592753,0.129207,2180,"September","2016",249
"226","Gasteranthus quitensis",2,2014-01-08,-78.593327,0.115701,1720,"January","2014",8
"227","Columnea medicinalis",4,2015-10-20,-78.598575,0.117732,1940,"October","2015",293
"228","Gasteranthus quitensis",5,2016-12-14,-78.596453,0.116069,1850,"December","2016",349
"229","Columnea strigosa",1,2016-05-10,-78.586303,0.130137,2320,"May","2016",131
"230","Drymonia teuscheri",1,2016-09-05,-78.592671,0.129242,2180,"September","2016",249
"231","Drymonia collegarum",1,2014-01-08,-78.593347,0.11541,1730,"January","2014",8
"232","Drymonia teuscheri",1,2015-01-18,-78.593576,0.128752,2130,"January","2015",18
"233","Glossoloma oblongicalyx",2,2016-10-18,-78.591719,0.129947,2230,"October","2016",292
"234","Columnea kucyniakii",1,2015-03-11,-78.598318,0.118151,1940,"March","2015",70
"235","Columnea strigosa",1,2016-05-10,-78.586247,0.130034,2320,"May","2016",131
"236","Besleria solanoides",90,2015-06-23,-78.597012,0.121645,1980,"June","2015",174
"237","Besleria solanoides",48,2016-09-05,-78.592593,0.129235,2180,"September","2016",249
"238","Besleria solanoides",75,2016-09-05,-78.592593,0.129235,2180,"September","2016",249
"239","Gasteranthus quitensis",1,2014-01-08,-78.593657,0.114783,1740,"January","2014",8
"240","Besleria solanoides",75,2014-10-07,-78.5932,0.115243,1740,"October","2014",280
"241","Gasteranthus quitensis",16,2015-10-20,-78.598339,0.118212,1930,"October","2015",293
"242","Gasteranthus quitensis",1,2016-12-14,-78.596608,0.116134,1860,"December","2016",349
"243","Gasteranthus quitensis",2,2016-12-14,-78.596608,0.116134,1860,"December","2016",349
"244","Columnea kucyniakii",3,2014-03-08,-78.628858,0.107457,1540,"March","2014",67
"245","Columnea mastersonii",1,2014-04-27,-78.628882,0.107565,1570,"April","2014",117
"246","Glossoloma oblongicalyx",2,2016-09-05,-78.592493,0.129362,2190,"September","2016",249
"247","Glossoloma oblongicalyx",1,2016-09-05,-78.592493,0.129362,2190,"September","2016",249
"248","Columnea ciliata",4,2014-01-08,-78.593654,0.114764,1750,"January","2014",8
"249","Gasteranthus quitensis",1,2014-01-08,-78.593654,0.114764,1750,"January","2014",8
"250","Drymonia teuscheri",1,2015-01-18,-78.59354,0.128813,2130,"January","2015",18
"251","Gasteranthus quitensis",6,2015-10-20,-78.598264,0.118592,1940,"October","2015",293
"252","Columnea kucyniakii",1,2014-03-08,-78.629004,0.107443,1550,"March","2014",67
"253","Glossoloma oblongicalyx",1,2016-05-10,-78.586139,0.129981,2330,"May","2016",131
"254","Glossoloma oblongicalyx",2,2016-05-10,-78.586139,0.129981,2330,"May","2016",131
"255","Columnea mastersonii",4,2014-07-24,-78.633953,0.119138,1370,"July","2014",205
"256","Columnea mastersonii",5,2015-09-12,-78.635225,0.117113,1360,"September","2015",255
"257","Glossoloma oblongicalyx",3,2016-09-05,-78.592357,0.129403,2200,"September","2016",249
"258","Gasteranthus quitensis",6,2014-01-08,-78.593959,0.114618,1750,"January","2014",8
"259","Drymonia teuscheri",4,2015-01-18,-78.593222,0.129085,2150,"January","2015",18
"260","Drymonia teuscheri",8,2016-10-18,-78.59151,0.130323,2240,"October","2016",292
"261","Glossoloma oblongicalyx",1,2014-11-06,-78.584418,0.128403,2410,"November","2014",310
"262","Gasteranthus quitensis",4,2016-12-14,-78.596808,0.116436,1860,"December","2016",349
"263","Gasteranthus quitensis",1,2014-03-08,-78.629639,0.106842,1590,"March","2014",67
"264","Columnea kucyniakii",1,2015-03-11,-78.598234,0.118643,1950,"March","2015",70
"265","Glossoloma oblongicalyx",1,2016-09-05,-78.592325,0.129566,2200,"September","2016",249
"266","Gasteranthus quitensis",1,2014-01-08,-78.593995,0.11461,1750,"January","2014",8
"267","Besleria solanoides",9,2014-10-07,-78.59327,0.115417,1740,"October","2014",280
"268","Besleria solanoides",20,2014-10-07,-78.59327,0.115417,1740,"October","2014",280
"269","Besleria solanoides",1,2015-05-13,-78.595443,0.114779,1780,"May","2015",133
"270","Glossoloma oblongicalyx",1,2016-09-05,-78.592134,0.129575,2210,"September","2016",249
"271","Columnea kucyniakii",2,2015-01-13,-78.598498,0.117796,1940,"January","2015",13
"272","Besleria solanoides",44,2016-10-17,-78.59765,0.120674,1940,"October","2016",291
"273","Besleria solanoides",24,2016-10-17,-78.59765,0.120674,1940,"October","2016",291
"274","Columnea mastersonii",1,2016-06-11,-78.628871,0.107542,1560,"June","2016",163
"275","Gasteranthus quitensis",30,2016-08-27,-78.628712,0.106531,1620,"August","2016",240
"276","Gasteranthus quitensis",2,2014-01-08,-78.594319,0.114758,1760,"January","2014",8
"277","Gasteranthus lateralis",3,2016-10-18,-78.591484,0.130239,2240,"October","2016",292
"278","Gasteranthus quitensis",1,2016-12-14,-78.596912,0.116331,1870,"December","2016",349
"279","Besleria solanoides",64,2015-06-23,-78.596663,0.12256,2000,"June","2015",174
"280","Besleria solanoides",15,2015-06-23,-78.596663,0.12256,2000,"June","2015",174
"281","Glossoloma oblongicalyx",3,2016-09-05,-78.592072,0.129633,2210,"September","2016",249
"282","Besleria solanoides",225,2015-10-20,-78.597785,0.11993,1950,"October","2015",293
"283","Gasteranthus quitensis",5,2016-12-14,-78.596948,0.116348,1870,"December","2016",349
"284","Besleria solanoides",3,2015-03-11,-78.598177,0.118903,1950,"March","2015",70
"285","Columnea ciliata",1,2014-04-27,-78.629721,0.106926,1590,"April","2014",117
"286","Besleria solanoides",72,2015-06-23,-78.596676,0.122555,2000,"June","2015",174
"287","Columnea medicinalis",1,2016-06-22,-78.595361,0.12676,2120,"June","2016",174
"288","Glossoloma purpureum",1,2015-09-12,-78.634636,0.116171,1370,"September","2015",255
"289","Glossoloma oblongicalyx",4,2016-09-05,-78.592091,0.12965,2220,"September","2016",249
"290","Besleria solanoides",16,2014-10-07,-78.593408,0.115317,1750,"October","2014",280
"291","Columnea ciliata",3,2015-10-20,-78.597684,0.120065,1950,"October","2015",293
"292","Gasteranthus lateralis",1,2016-10-18,-78.591298,0.130214,2240,"October","2016",292
"293","Gasteranthus quitensis",1,2016-12-14,-78.596898,0.116474,1870,"December","2016",349
"294","Glossoloma oblongicalyx",1,2016-05-10,-78.585721,0.129591,2340,"May","2016",131
"295","Glossoloma oblongicalyx",1,2016-05-10,-78.585721,0.129591,2340,"May","2016",131
"296","Besleria solanoides",3,2014-06-18,-78.596083,0.115033,1810,"June","2014",169
"297","Columnea medicinalis",1,2016-06-22,-78.595213,0.126887,2110,"June","2016",174
"298","Gasteranthus lateralis",1,2016-09-05,-78.592003,0.129634,2220,"September","2016",249
"299","Drymonia teuscheri",1,2015-01-18,-78.59297,0.129319,2160,"January","2015",18
"300","Gasteranthus quitensis",12,2015-10-20,-78.597681,0.120108,1950,"October","2015",293
"301","Besleria solanoides",4,2015-10-20,-78.597681,0.120108,1950,"October","2015",293
"302","Gasteranthus lateralis",1,2016-10-18,-78.591195,0.130202,2240,"October","2016",292
"303","Drymonia teuscheri",8,2016-10-18,-78.591195,0.130202,2240,"October","2016",292
"304","Gasteranthus quitensis",3,2016-12-14,-78.597119,0.116476,1870,"December","2016",349
"305","Glossoloma oblongicalyx",2,2016-05-10,-78.585711,0.129543,2340,"May","2016",131
"306","Drymonia collegarum",18,2016-06-22,-78.595191,0.12695,2120,"June","2016",174
"307","Columnea picta",1,2015-09-12,-78.634566,0.116062,1380,"September","2015",255
"308","Gasteranthus quitensis",6,2015-10-20,-78.597679,0.120133,1950,"October","2015",293
"309","Columnea ciliata",1,2014-03-08,-78.628453,0.106791,1610,"March","2014",67
"310","Besleria solanoides",20,2015-05-13,-78.596034,0.115063,1810,"May","2015",133
"311","Besleria solanoides",3,2016-07-29,-78.596702,0.122532,2000,"July","2016",211
"312","Glossoloma oblongicalyx",2,2016-09-05,-78.591769,0.129861,2230,"September","2016",249
